id,lemma,pronunciation,transliteration,definition,derivation,strongsNumber,englishWord
171,אׇהֳלִיאָב,o''-hol-e-awb',ʼOhŏlîyʼâb,"Oholiab, an Israelite",from H168 (אֹהֶל) and H1 (אָב); tent of (his) father;,H171,Aholiab.
172,אׇהֳלִיבָה,o''-hol-ee-baw',ʼOhŏlîybâh,"Oholibah, a symbolic name for Judah",(similarly with H170 (אׇהֳלָה)) for אׇהֳלִיבָהּ ; from H168 (אֹהֶל); my tent (is) in her;,H172,Aholibah.
173,אׇהֳלִיבָמָה,o''-hol-ee-baw-maw',ʼOhŏlîybâmâh,"Oholibamah, a wife of Esau",from H168 (אֹהֶל) and H1116 (בָּמָה); tent of (the) height;,H173,Aholibamah.
174,אֲהָלִים,a-haw-leem',ʼăhâlîym,aloe wood (i.e. sticks),or (feminine) אֲהָלוֹת (only used thus in the plural); of foreign origin;,H174,(tree of lign-) aloes.
175,אַהֲרוֹן,a-har-one',ʼAhărôwn,"Aharon, the brother of Moses",of uncertain derivation;,H175,Aaron.
176,אוֹ,o,ʼôw,"desire (and so probably in Proverbs 31:4); hence (by way of alternative) or, also if",presumed to be the 'constructive' or genitival form of אַו ; short for H185 (אַוָּה);,H176,"also, and, either, if, at the least, [idiom] nor, or, otherwise, then, whether."
177,אוּאֵל,oo-ale',ʼÛwʼêl,"Uel, and Israelite",from H176 (אוֹ) and H410 (אֵל); wish of God;,H177,Uel.
178,אוֹב,obe,ʼôwb,"properly, a mumble, i.e. a water skin (from its hollow sound); hence a necromancer (ventriloquist, as from a jar)",from the same as H1 (אָב) (apparently through the idea of prattling a father's name);,H178,"bottle, familiar spirit."
179,אוֹבִיל,o-beel',ʼôwbîyl,"Obil, an Ishmaelite",probably from H56 (אָבַל); mournful;,H179,Obil.
180,אוּבָל,oo-bawl',ʼûwbâl,a stream,or (shortened) אֻבָל ; from H2986 (יָבַל) (in the sense of H2988 (יָבָל));,H180,river.
181,אוּד,ood,ʼûwd,a poker (for turning or gathering embers),from an unused root meaning to rake together;,H181,(fire-) brand.
182,אוֹדוֹת,o-doth',ʼôwdôwth,turnings (i.e. occasions); (adverb) on account of,or (shortened) אֹדוֹת (only thus in the plural); from the same as H181 (אוּד);,H182,"(be-) cause, concerning, sake."
183,אָוָה,aw-vaw',ʼâvâh,to wish for,a primitive root;,H183,"covet, (greatly) desire, be desirous, long, lust (after)."
184,אָוָה,aw-vaw',ʼâvâh,to extend or mark out,a primitive root;,H184,point out.
185,אַוָּה,av-vaw',ʼavvâh,longing,from H183 (אָוָה);,H185,"desire, lust after, pleasure."
186,אוּזַי,oo-zah'-ee,ʼÛwzay,"Uzai, an Israelite","perhaps by permutation for H5813 (עֻזִּי), strong;",H186,Uzai.
187,אוּזָל,oo-zawl',ʼÛwzâl,"Uzal, a son of Joktan",of uncertain derivation;,H187,Uzal.
188,אוֹי,o'-ee,ʼôwy,lamentation; also interjectionally Oh!,probably from H183 (אָוָה) (in the sense of crying out after);,H188,"alas, woe."
189,אֱוִי,ev-ee',ʼĔvîy,"Evi, a Midianitish chief",probably from H183 (אָוָה); desirous;,H189,Evi.
190,אוֹיָה,o-yaw',ʼôwyâh,{lamentation; also interjectionally Oh!},feminine of H188 (אוֹי),H190,woe.
191,אֱוִיל,ev-eel',ʼĕvîyl,(figuratively) silly,from an unused root (meaning to be perverse);,H191,fool(-ish) (man).
192,אֱוִיל מְרֹדַךְ,ev-eel' mer-o-dak',ʼĔvîyl Mᵉrôdak,"Evil-Merodak, a Babylonian king",of Aramaic derivation and probably meaning soldier of Merodak;,H192,Evil-merodach.
193,אוּל,ool,ʼûwl,the body (as being rolled together); also powerful,"from an unused root meaning to twist, i.e. (by implication) be strong;",H193,"mighty, strength."
194,אוּלַי,oo-lah'ee,ʼûwlay,if not; hence perhaps,or (shortened) אֻלַי; from H176 (אוֹ);,H194,"if so be, may be, peradventure, unless."
195,אוּלַי,oo-lah'ee,ʼÛwlay,"the Ulai (or Eulaeus), a river of Persia",of Persian derivation;,H195,Ulai.
196,אֱוִלִי,ev-ee-lee',ʼĕvilîy,"silly, foolish; hence (morally) impious",from H191 (אֱוִיל);,H196,foolish.
197,אוּלָם,oo-lawm',ʼûwlâm,a vestibule (as bound to the building),"or (shortened), אֻלָם ; from H481 (אָלַם) (in the sense of tying);",H197,porch.
198,אוּלָם,oo-lawm',ʼÛwlâm,"Ulam, the name of two Israelites","appar, from H481 (אָלַם) (in the sense of dumbness); solitary;",H198,Ulam.
199,אוּלָם,oo-lawm',ʼûwlâm,however or on the contrary,apparently a variation of H194 (אוּלַי);,H199,"as for, but, howbeit, in very deed, surely, truly, wherefore."
200,אִוֶּלֶת,iv-veh'-leth,ʼivveleth,silliness,from the same as H191 (אֱוִיל);,H200,"folly, foolishly(-ness)."
201,אוֹמָר,o-mawr',ʼÔwmâr,"Omar, a grandson of Esau",from H559 (אָמַר); talkative;,H201,Omar.
202,אוֹן,one,ʼôwn,"ability, power, (figuratively) wealth","probably from the same as H205 (אָוֶן) (in the sense of effort, but successful);",H202,"force, goods, might, strength, substance."
203,אוֹן,one,ʼÔwn,"On, an Israelite",the same as H202 (אוֹן);,H203,On.
204,אוֹן,one,ʼÔwn,"On, a city of Egypt",or (shortened); אֹן; of Egyptian derivation;,H204,On.
205,אָוֶן,aw-ven',ʼâven,"strictly nothingness; also trouble. vanity, wickedness; specifically an idol","from an unused root perhaps meaning properly, to pant (hence, to exert oneself, usually in vain; to come to naught);",H205,"affliction, evil, false, idol, iniquity, mischief, mourners(-ing), naught, sorrow, unjust, unrighteous, vain, vanity, wicked(-ness). Compare H369 (אַיִן)."
206,אָוֶן,aw'-ven,ʼÂven,"Aven, the contemptuous synonym of three places, one in Coele-Syria, one in Egypt (On), and one in Palestine (Bethel)",the same as H205 (אָוֶן); idolatry;,H206,"Aven. See also H204 (אוֹן), H1007 (בֵּית אָוֶן)."
207,אוֹנוֹ,o-no',ʼÔwnôw,"Ono, a place in Palestine",or (shortened) אֹנוֹ; prolonged from H202 (אוֹן); strong;,H207,Ono.
208,אוֹנָם,o-nawm',ʼÔwnâm,"Onam, the name of an Edomite and of an Israelite",a variation of H209 (אוֹנָן); strong;,H208,Onam.
209,אוֹנָן,o-nawn',ʼÔwnân,"Onan, a son of Judah",a variation of H207 (אוֹנוֹ); strong;,H209,Onan.
210,אוּפָז,oo-fawz',ʼÛwphâz,"Uphaz, a famous gold region",perhaps a corruption of H211 (אוֹפִיר);,H210,Uphaz.
211,אוֹפִיר,o-feer',ʼÔwphîyr,"Ophir, the name of a son of Joktan, and of a gold region in the East",or (shortened) אֹפִיר; and אוֹפִר; of uncertain derivation;,H211,Ophir.
212,אוֹפָן,o-fawn',ʼôwphân,a wheel,or (shortened) אֹפָן; from an unused root meaning to revolve;,H212,wheel.
213,אוּץ,oots,ʼûwts,"to press; (by implication) to be close, hurry, withdraw",a primitive root;,H213,"(make) haste(-n, -y), labor, be narrow."
214,אוֹצָר,o-tsaw',ʼôwtsâr,a depository,from H686 (אָצַר);,H214,"armory, cellar, garner, store(-house), treasure(-house) (-y)."
215,אוֹר,ore,ʼôwr,"to be (causative, make) luminous (literally and metaphorically)",a primitive root;,H215,"[idiom] break of day, glorious, kindle, (be, en-, give, show) light (-en, -ened), set on fire, shine."
216,אוֹר,ore,ʼôwr,"illumination or (concrete) luminary (in every sense, including lightning, happiness, etc.)",from H215 (אוֹר);,H216,"bright, clear, [phrase] day, light (-ning), morning, sun."
217,אוּר,ore,ʼûwr,flame; hence (in the plural) the East (as being the region of light),from H215 (אוֹר);,H217,"fire, light. See also H224 (אוּרִים)."
218,אוּר,oor,ʼÛwr,"Ur, a place in Chaldaea; also an Israelite",the same as H217 (אוּר);,H218,Ur.
219,אוֹרָה,o-raw',ʼôwrâh,"luminousness, i.e. (figuratively) prosperity; also a plant (as being bright)",feminine of H216 (אוֹר);,H219,"herb, light."
220,אֲוֵרָה,av-ay-raw',ʼăvêrâh,a stall,by transposition for H723 (אֻרְוָה);,H220,cote.
221,אוּרִי,oo-ree',ʼÛwrîy,"Uri, the name of three Israelites",from H217 (אוּר); fiery;,H221,Uri.
222,אוּרִיאֵל,oo-ree-ale',ʼÛwrîyʼêl,"Uriel, the name of two Israelites",from H217 (אוּר) and H410 (אֵל); flame of God;,H222,Uriel.
223,אוּרִיָּה,oo-ree-yaw',ʼÛwrîyâh,"Urijah, the name of one Hittite and five Israelites",or (prolonged) אוּרִיָּהוּ ; from H217 (אוּר) and H3050 (יָהּ); flame of Jah;,H223,"Uriah, Urijah."
224,אוּרִים,oo-reem',ʼÛwrîym,"Urim, the oracular brilliancy of the figures in the high-priest's breastplate",plural of H217 (אוּר); lights;,H224,Urim.
225,אוּת,ooth,ʼûwth,"properly, to come, i.e. (implied) to assent",a primitive root;,H225,consent.
226,אוֹת,oth,ʼôwth,"a signal (literally or figuratively), as aflag, beacon, monument, omen, prodigy, evidence, etc.",probably from H225 (אוּת) (in the sense of appearing);,H226,"mark, miracle, (en-) sign, token."
227,אָז,awz,ʼâz,"at that time or place; also as a conjunction, therefore",a demonstrative adverb;,H227,"beginning, for, from, hitherto, now, of old, once, since, then, at which time, yet."
228,אֲזָא,az-zaw',ʼăzâʼ,to kindle; (by implication) to heat,(Aramaic) or אֲזָה (Aramaic);,H228,"heat, hot."
229,אֶזְבַּי,ez-bah'ee,ʼEzbay,"Ezbai, an Israelite",probably from H231 (אֵזוֹב); hyssop-like;,H229,Ezbai.
230,אֲזָד,az-zawd',ʼăzâd,firm,(Aramaic) of uncertain derivation;,H230,be gone.
231,אֵזוֹב,ay-zobe',ʼêzôwb,hyssop,probably of foreign derivation;,H231,hyssop.
232,אֵזוֹר,ay-zore',ʼêzôwr,"something girt; a belt, also a band",from H246 (אֲזִקִּים);,H232,girdle.
233,אֲזַי,az-ah'ee,ʼăzay,at that time,probably from H227 (אָז);,H233,then.
234,אַזְכָּרָה,az-kaw-raw',ʼazkârâh,a reminder; specifically remembrance-offering,from H2142 (זָכַר);,H234,memorial.
235,אָזַל,aw-zal',ʼâzal,"to go away, hence, to disappear",a primitive root;,H235,"fail, gad about, go to and fro (but in Ezekiel 27:19 the word is rendered by many 'from Uzal,' by others 'yarn'), be gone (spent)."
236,אֲזַל,az-al',ʼăzal,to depart,(Aramaic) the same as H235 (אָזַל);,H236,go (up).
237,אֶזֶל,eh'-zel,ʼezel,"Ezel, a memorial stone in Palestine",from H235 (אָזַל); departure;,H237,Ezel.
238,אָזַן,aw-zan',ʼâzan,"to broaden out the ear (with the hand), i.e. (by implication) to listen",a primitive root; probably to expand; but used only as a denominative from H241 (אֹזֶן);,H238,"give (perceive by the) ear, hear(-ken). See H239 (אָזַן)."
239,אָזַן,aw-zan',ʼâzan,"to weigh, i.e. (figuratively) ponder",a primitive root (rather identical with H238 (אָזַן) through the idea of scales as if two ears);,H239,give good heed.
240,אָזֵן,aw-zane',ʼâzên,a spade or paddle (as having a broad end),from H238 (אָזַן);,H240,weapon.
241,אֹזֶן,o'-zen,ʼôzen,broadness. i.e. (concrete) the ear (from its form in man),from H238 (אָזַן);,H241,"[phrase] advertise, audience, [phrase] displease, ear, hearing, [phrase] show."
242,אֻזֵּן שֶׁאֱרָה,ooz-zane' sheh-er-aw',ʼUzzên Sheʼĕrâh,"Uzzen-Sheerah, a place in Palestine",from H238 (אָזַן) and H7609 (שֶׁאֱרָה); plot of Sheerah (i.e. settled by him);,H242,Uzzen-sherah.
243,אַזְנוֹת תָּבוֹר,az-noth' taw-bore',ʼAznôwth Tâbôwr,"Aznoth-Tabor, a place in Palestine",from H238 (אָזַן) and H8396 (תָּבוֹר); flats (i.e. tops) of Tabor (i.e. situated on it);,H243,Aznoth-tabor.
244,אׇזְנִי,oz-nee',ʼOznîy,"Ozni, an Israelite; also an Oznite (collectively), his descendant",from H241 (אֹזֶן); having (quick) ears;,H244,"Ozni, Oznites."
245,אֲזַנְיָה,az-an-yaw',ʼĂzanyâh,"Azanjah, an Israelite",from H238 (אָזַן) and H3050 (יָהּ); heard by Jah;,H245,Azaniah.
246,אֲזִקִּים,az-ik-keem',ʼăziqqîym,manacles,a variation for H2131 (זִיקָה);,H246,chains.
247,אָזַר,aw-zar',ʼâzar,to belt,a primitive root;,H247,"bind (compass) about, gird (up, with)."
248,אֶזְרוֹעַ,ez-ro'-a,ʼezrôwaʻ,the arm,a variation for H2220 (זְרוֹעַ);,H248,arm.
249,אֶזְרָח,ez-rawkh',ʼezrâch,"a spontaneous growth, i.e. native (tree or persons)",from H2224 (זָרַח) (in the sense of springing up);,H249,"bay tree, (home-) born (in the land), of the (one's own) country (nation)."
250,אֶזְרָחִי,ez-raw-khee',ʼEzrâchîy,an Ezrachite or descendant of Zerach,patronymic from H2246 (חֹבָב);,H250,Ezrahite.
251,אָח,awkh,ʼâch,a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance (like father)),a primitive word;,H251,"another, brother(-ly); kindred, like, other. Compare also the proper names beginning with 'Ah-' or 'Ahi-'."
252,אַח,akh,ʼach,{a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance)},(Aramaic) corresponding to H251 (אָח),H252,brother.
253,אָח,awkh,ʼâch,Oh! (expressive of grief or surprise),a variation for H162 (אֲהָהּ);,H253,"ah, alas."
254,אָח,awkh,ʼâch,a fire-pot or chafing dish,of uncertain derivation;,H254,hearth.
255,אֹחַ,o'-akh,ʼôach,a howler or lonesome wild animal,probably from H253 (אָח);,H255,doleful creature.
256,אַחְאָב,akh-awb',ʼAchʼâb,"Achab, the name of a king of Israel and of a prophet at Babylon",once (by contraction) אֶחָב (Jeremiah 29:22); from H251 (אָח) and H1 (אָב); brother (i.e. friend) of (his) father;,H256,Ahab.
257,אַחְבָן,akh-bawn',ʼAchbân,"Achban, an Israelite",from H251 (אָח) and H995 (בִּין); brother (i.e. possessor) of understanding;,H257,Ahban.
258,אָחַד,aw-khad',ʼâchad,"to unify, i.e. (figuratively) collect (one's thoughts)",perhaps a primitive root;,H258,go one way or other.
259,אֶחָד,ekh-awd',ʼechâd,"properly, united, i.e. one; or (as an ordinal) first",a numeral from H258 (אָחַד);,H259,"a, alike, alone, altogether, and, any(-thing), apiece, a certain, (dai-) ly, each (one), [phrase] eleven, every, few, first, [phrase] highway, a man, once, one, only, other, some, together,"
260,אָחוּ,aw'-khoo,ʼâchûw,a bulrush or any marshy grass (particularly that along the Nile),of uncertain (perhaps Egyptian) derivation;,H260,"flag, meadow."
261,אֵחוּד,ay-khood',ʼÊchûwd,"Echud, the name of three Israelites",from H258 (אָחַד); united;,H261,Ehud.
262,אַחְוָה,akh-vaw',ʼachvâh,an utterance,from H2331 (חָוָה) (in the sense of H2324 (חֲוָא));,H262,declaration.
263,אַחֲוָה,akh-av-aw',ʼachăvâh,solution (of riddles),(Aramaic) corresponding to H262 (אַחְוָה);,H263,showing.
264,אַחֲוָה,akh-av-aw',ʼachăvâh,fraternity,from H251 (אָח);,H264,brotherhood.
265,אֲחוֹחַ,akh-o'-akh,ʼĂchôwach,"Achoach, an Israelite",by reduplication from H251 (אָח); brotherly;,H265,Ahoah.
266,אֲחוֹחִי,akh-o-khee',ʼĂchôwchîy,an Achochite or descendant of Achoach,patronymic from H264 (אַחֲוָה);,H266,Ahohite.
267,אֲחוּמַי,akh-oo-mah'-ee,ʼĂchûwmay,"Achumai, an Israelite",perhaps from H251 (אָח) and H4325 (מַיִם); brother (i.e. neighbour) of water;,H267,Ahumai.
268,אָחוֹר,aw-khore',ʼâchôwr,"the hinder part; hence (adverb) behind, backward; also (as facing north) the West",or (shortened) אָחֹר ; from H299 (אֲחִירַע);,H268,"after(-ward), back (part, -side, -ward), hereafter, (be-) hind(-er part), time to come, without."
269,אָחוֹת,aw-khoth',ʼâchôwth,"a sister (used very widely (like brother), literally and figuratively)",irregular feminine of H251 (אָח);,H269,"(an-) other, sister, together."
270,אָחַז,aw-khaz',ʼâchaz,to seize (often with the accessory idea of holding in possession),a primitive root;,H270,"[phrase] be affrighted, bar, (catch, lay, take) hold (back), come upon, fasten, handle, portion, (get, have or take) possess(-ion)."
271,אָחָז,aw-khawz',ʼÂchâz,"Achaz, the name of a Jewish king and of an Israelite",from H270 (אָחַז); possessor;,H271,Ahaz.
272,אֲחֻזָּה,akh-ooz-zaw',ʼăchuzzâh,"something seized, i.e. a possession (especially of land)",feminine passive participle from H270 (אָחַז);,H272,possession.
273,אַחְזַי,akh-zah'ee,ʼAchzay,"Achzai, an Israelite",from H270 (אָחַז); seizer;,H273,Ahasai.
274,אֲחַזְיָה,akh-az-yaw',ʼĂchazyâh,"Achazjah, the name of a Jewish and an Israelite king",or (prolonged) אֲחַזְיָהוּ ; from H270 (אָחַז) and H3050 (יָהּ); Jah has seized;,H274,Ahaziah.
275,אֲחֻזָּם,akh-ooz-zawm',ʼĂchuzzâm,"Achuzzam, an Israelite",from H270 (אָחַז); seizure;,H275,Ahuzam.
276,אֲחֻזַּת,akh-ooz-zath',ʼĂchuzzath,"Achuzzath, a Philistine",a variation of H272 (אֲחֻזָּה); possession;,H276,Ahuzzath.
277,אֲחִי,akh-ee',ʼĂchîy,"Achi, the name of two Israelites",from H251 (אָח); brotherly;,H277,Ahi.
278,אֵחִי,ay-khee',ʼÊchîy,"Echi, an Israelite",probably the same as H277 (אֲחִי);,H278,Ehi.
279,אֲחִיאָם,akh-ee-awm',ʼĂchîyʼâm,"Achiam, an Israelite",from H251 (אָח) and H517 (אֵם); brother of the mother (i.e. uncle);,H279,Ahiam.
280,אֲחִידָה,akh-ee-daw',ʼăchîydâh,an enigma,"(Aramaic) corresponding to H2420 (חִידָה),",H280,hard sentence.
281,אֲחִיָּה,akh-ee-yaw,ʼĂchîyâh,"Achijah, the name of nine Israelites",or (prolonged) אֲחִיָּהוּ ; from H251 (אָח) and H3050 (יָהּ); brother (i.e. worshipper) of Jah;,H281,"Ahiah, Ahijah."
282,אֲחִיהוּד,akh-ee-hood',ʼĂchîyhûwd,"Achihud, an Israelite",from H251 (אָח) and H1935 (הוֹד); brother (i.e. possessor) of renown;,H282,Ahihud.
283,אַחְיוֹ,akh-yo',ʼAchyôw,"Achio, the name of three Israelites",prolonged from H251 (אָח); brotherly;,H283,Ahio.
284,אֲחִיחֻד,akh-ee-khood',ʼĂchîychud,"Achichud, an Israelite",from H251 (אָח) and H2330 (חוּד); brother of a riddle (i.e. mysterious);,H284,Ahihud.
285,אֲחִיטוּב,akh-ee-toob',ʼĂchîyṭûwb,"Achitub, the name of several priests",from H251 (אָח) and H2898 (טוּב); brother of goodness;,H285,Ahitub.
286,אֲחִילוּד,akh-ee-lood',ʼĂchîylûwd,"Achilud, an Israelite",from H251 (אָח) and H3205 (יָלַד); brother of one born;,H286,Ahilud.
287,אֲחִימוֹת,akh-ee-moth',ʼĂchîymôwth,"Achimoth, an Israelite",from H251 (אָח) and H4191 (מוּת); brother of death;,H287,Ahimoth.
288,אֲחִימֶלֶךְ,akh-ee-meh'-lek,ʼĂchîymelek,"Achimelek, the name of an Israelite and of a Hittite",from H251 (אָח) and H4428 (מֶלֶךְ); brother of (the) king;,H288,Ahimelech.
289,אֲחִימַן,akh-ee-man',ʼĂchîyman,"Achiman, the name of an Anakite and of an Israelite",or אֲחִימָן ; from H251 (אָח) and H4480 (מִן); brother of a portion (i.e. gift);,H289,Ahiman.
290,אֲחִימַעַץ,akh-ee-mah'-ats,ʼĂchîymaʻats,"Achimaats, the name of three Israelites",from H251 (אָח) and the equivalent of H4619 (מַעַץ); brother of anger;,H290,Ahimaaz.
291,אַחְיָן,akh-yawn',ʼAchyân,"Achjan, an Israelite",from H251 (אָח); brotherly;,H291,Ahian.
292,אֲחִינָדָב,akh-ee-naw-dawb',ʼĂchîynâdâb,"Achinadab, an Israelite",from H251 (אָח) and H5068 (נָדַב); brother of liberality;,H292,Ahinadab.
293,אֲחִינֹעַם,akh-ee-no'-am,ʼĂchîynôʻam,"Achinoam, the name of two Israelitesses",from H251 (אָח) and H5278 (נֹעַם); brother of pleasantness;,H293,Ahinoam.
