id,pronunciation,lemma,transliteration,definition,strongsNumber,englishWord
156,ahee-tee'-a,αἰτία,aitía,"[αἰτία] from the same as {{g154}}; a cause (as if asked for), i.e. (logical) reason (motive, matter), (legal) crime (alleged or proved)",g156,"cause 9, wherefore + \\1223\\ & \\3739\\ 3, accusation 3, fault 3, case 1, crime 1"
157,ahee-tee'-am-ah,αἰτίαμα,aitíama,[αἰτίαμα] from a derivative of {{g156}}; a thing charged,g157,complaint 1
158,ah'-ee-tee-on,αἴτιον,aítion,[αἴτιον] neuter of {{g159}}; a reason or crime (like {{g156}}),g158,"fault 2, cause 2"
159,ah'-ee-tee-os,αἴτιος,aítios,"[αἴτιος] from the same as {{g154}}; causative, i.e. (concretely) a causer",g159,author 1
160,aheef-nid'-ee-os,αἰφνίδιος,aiphnídios,"[αἰφνίδιος] from a compound of {{g1}} (as a negative particle) and {{g5316}} (compare {{g1810}}) (meaning non-apparent); unexpected, i.e. (adverbially) suddenly",g160,"unawares 1, sudden 1"
161,aheekh-mal-o-see'-ah,αἰχμαλωσία,aichmalōsía,[αἰχμαλωσία] from {{g164}}; captivity,g161,captivity 3
162,aheekh-mal-o-tew'-o,αἰχμαλωτεύω,aichmalōteúō,[αἰχμαλωτεύω] from {{g164}}; to capture (like {{g163}}),g162,lead captive 2
163,aheekh-mal-o-tid'-zo,αἰχμαλωτίζω,aichmalōtízō,[αἰχμαλωτίζω] from {{g164}}; to make captive,g163,"bring into captivity 2, lead away captive 1"
164,aheekh-mal-o-tos',αἰχμάλωτος,aichmálōtos,"[αἰχμάλωτος] from αἰχμή (a spear) and a derivative of the same as {{g259}}; properly, a prisoner of war, i.e. (genitive case) a captive",g164,captive 1
165,ahee-ohn',αἰών,aiṓn,"[αἰών] from the same as {{g104}}; properly, an age; by extension, perpetuity (also past); by implication, the world; specially (Jewish) a Messianic period (present or future) Compare {{g5550}}.",g165,"ever 71, world 38, never + \\3364\\ + \\1519\\ + \\3588\\ 6, evermore 4, age 2, eternal 2, misc 5"
166,ahee-o'-nee-os,αἰώνιος,aiṓnios,"[αἰώνιος] from {{g165}}; perpetual (also used of past time, or past and future as well)",g166,"eternal 42, everlasting 25, the world began + \\5550\\ 2, since the world began + \\5550\\ 1, for ever 1"
167,ak-ath-ar-see'-ah,ἀκαθαρσία,akatharsía,"[ἀκαθαρσία] from {{g169}}; impurity (the quality), physically or morally",g167,uncleanness 10
168,ak-ath-ar'-tace,ἀκαθάρτης,akathártēs,"[ἀκαθάρτης] from {{g169}}; impurity (the state), morally",g168,filthiness 1
169,ak-ath'-ar-tos,ἀκάθαρτος,akáthartos,"[ἀκάθαρτος] from {{g1}} (as a negative particle) and a presumed derivative of {{g2508}} (meaning cleansed); impure (ceremonially, morally (lewd) or specially, (demonic))",g169,"unclean 28, foul 2"
170,ak-ahee-reh'-om-ahee,ἀκαιρέομαι,akairéomai,"[ἀκαιρέομαι] from a compound of {{g1}} (as a negative particle) and {{g2540}} (meaning unseasonable); to be inopportune (for oneself), i.e. to fail of a proper occasion",g170,lack of opportunity 1
171,ak-ah'-ee-roce,ἀκαίρως,akaírōs,[ἀκαίρως] adverb from the same as {{g170}}; inopportunely,g171,out of season 1
172,ak'-ak-os,ἄκακος,ákakos,"[ἄκακος] from {{g1}} (as a negative particle) and {{g2556}}; not bad, i.e. (objectively) innocent or (subjectively) unsuspecting",g172,"simple 1, harmless 1"
173,ak'-an-thah,ἄκανθα,ákantha,[ἄκανθα] probably from the same as {{g188}}; a thorn,g173,thorns 14
174,ak-an'-thee-nos,ἀκάνθινος,akánthinos,[ἀκάνθινος] from {{g173}}; thorny,g174,of thorns 2
175,ak'-ar-pos,ἄκαρπος,ákarpos,[ἄκαρπος] from {{g1}} (as a negative particle) and {{g2590}}; barren (literally or figuratively),g175,"unfruitful 6, without fruit 1"
176,ak-at-ag'-noce-tos,ἀκατάγνωστος,akatágnōstos,[ἀκατάγνωστος] from {{g1}} (as a negative particle) and a derivative of {{g2607}}; unblamable,g176,cannot be condemned 1
177,ak-at-ak-al'-oop-tos,ἀκατακάλυπτος,akatakályptos,[ἀκατακάλυπτος] from {{g1}} (as a negative particle) and a derivative of a compound of {{g2596}} and {{g2572}}; unveiled,g177,uncovered 2
178,ak-at-ak'-ree-tos,ἀκατάκριτος,akatákritos,[ἀκατάκριτος] from {{g1}} (as a negative particle) and a derivative of {{g2632}}; without (legal) trial,g178,uncondemned 2
179,ak-at-al'-oo-tos,ἀκατάλυτος,akatálytos,"[ἀκατάλυτος] from {{g1}} (as a negative particle) and a derivative of {{g2647}}; indissoluble, i.e. (figuratively) permanent",g179,endless 1
180,ak-at-ap'-ow-stos,ἀκατάπαυστος,akatápaustos,[ἀκατάπαυστος] from {{g1}} (as a negative particle) and a derivative of {{g2664}}; unrefraining,g180,cannot cease 1
181,ak-at-as-tah-see'-ah,ἀκαταστασία,akatastasía,"[ἀκαταστασία] from {{g182}}; instability, i.e. disorder",g181,"confusion 2, tumult 2, commotion 1"
182,ak-at-as'-tat-os,ἀκατάστατος,akatástatos,[ἀκατάστατος] from {{g1}} (as a negative particle) and a derivative of {{g2525}}; inconstant,g182,unstable 1
183,ak-at-as'-khet-os,ἀκατάσχετος,akatáschetos,[ἀκατάσχετος] from {{g1}} (as a negative particle) and a derivative of {{g2722}}; unrestrainable,g183,unruly 1
184,ak-el-dam-ah',Ἀκελδαμά,Akeldamá,"[Ἀκελδαμά] of Chaldee origin (meaning field of blood; corresponding to {{h2506}} and {{h1818}}); Akeldama, a place near Jerusalem",g184,Aceldama 1
185,ak-er'-ah-yos,ἀκέραιος,akéraios,"[ἀκέραιος] from {{g1}} (as a negative particle) and a presumed derivative of {{g2767}}; unmixed, i.e. (figuratively) innocent",g185,"harmless 2, simple 1"
186,ak-lee-nace',ἀκλινής,aklinḗs,"[ἀκλινής] from {{g1}} (as a negative particle) and {{g2827}}; not leaning, i.e. (figuratively) firm",g186,without wavering 1
187,ak-mad'-zo,ἀκμάζω,akmázō,"[ἀκμάζω] from the same as {{g188}}; to make a point, i.e. (figuratively) mature",g187,be fully ripe 1
188,ak-mane',ἀκμήν,akmḗn,"""[ἀκμήν] accusative case of a noun (""acme"") akin to ἀκή (a point) and meaning the same; adverbially, just now, i.e. still"",g188,""yet 1",NULL,
189,ak-o-ay',ἀκοή,akoḗ,"[ἀκοή] from {{g191}}; hearing (the act, the sense or the thing heard)",g189,"hearing 10, ears 4, fame 3, rumour 2, report 2, audience 1, misc 2"
190,ak-ol-oo-theh'-o,ἀκολουθέω,akolouthéō,"[ἀκολουθέω] from {{g1}} (as a particle of union) and κέλευθος (a road); properly, to be in the same way with, i.e. to accompany (specially, as a disciple)",g190,"follow 91, reach 1"
191,ak-oo'-o,ἀκούω,akoúō,[ἀκούω] a primary verb; to hear (in various senses),g191,"hear 418, hearken 6, give audience 3, hearer 2, misc 8"
192,ak-ras-ee'-a,ἀκρασία,akrasía,[ἀκρασία] from {{g193}}; want of self-restraint,g192,"excess 1, incontinency 1"
193,ak-rat'-ace,ἀκρατής,akratḗs,"[ἀκρατής] from {{g1}} (as a negative particle) and {{g2904}}; powerless, i.e. without self-control",g193,incontinent 1
194,ak'-rat-os,ἄκρατος,ákratos,[ἄκρατος] from {{g1}} (as a negative particle) and a presumed derivative of {{g2767}}; undiluted,g194,without mixture 1
195,ak-ree'-bi-ah,ἀκρίβεια,akríbeia,[ἀκρίβεια] from the same as {{g196}}; exactness,g195,perfect manner 1
196,ak-ree-bes'-ta-tos,ἀκριβέστατος,akribéstatos,[ἀκριβέστατος] superlative of ἀκρίβης (a derivative of the same as {{g206}}); most exact,g196,most straitest 1
197,ak-ree-bes'-ter-on,ἀκριβέστερον,akribésteron,[ἀκριβέστερον] neuter of the comparative of the same as {{g196}}; (adverbially) more exactly,g197,"more perfectly 3, more perfect 1"
198,ak-ree-bo'-o,ἀκριβόω,akribóō,"[ἀκριβόω] from the same as {{g196}}; to be exact, i.e. ascertain",g198,enquire diligently 2
199,ak-ree-boce',ἀκριβῶς,akribōs,[ἀκριβῶς] adverb from the same as {{g196}}; exactly,g199,"diligently 2, perfect 1, perfectly 1, circumspectly 1"
200,ak-rece',ἀκρίς,akrís,"[ἀκρίς] apparently from the same as {{g206}}; a locust (as pointed, or as lighting on the top of vegetation)",g200,locust 4
201,ak-ro-at-ay'-ree-on,ἀκροατήριον,akroatḗrion,[ἀκροατήριον] from {{g202}}; an audience-room,g201,place of hearing 1
202,ak-ro-at-ace',ἀκροατής,akroatḗs,[ἀκροατής] from ἀκροάομαι (to listen; apparently an intensive of {{g191}}); a hearer (merely),g202,hearer 4
203,ak-rob-oos-tee'-ah,ἀκροβυστία,akrobystía,"[ἀκροβυστία] from {{g206}} and probably a modified form of πόσθη (the penis or male sexual organ); the prepuce; by implication, an uncircumcised (i.e. gentile, figuratively, unregenerate) state or person",g203,"uncircumcision 16, being circumcised 2, uncircumcised + \\2192\\ 1, though not circumcised 1"
204,ak-rog-o-nee-ah'-yos,ἀκρογωνιαῖος,akrogōniaîos,[ἀκρογωνιαῖος] from {{g206}} and {{g1137}}; belonging to the extreme corner,g204,chief corner 2
205,ak-roth-in'-ee-on,ἀκροθίνιον,akrothínion,"[ἀκροθίνιον] from {{g206}} and θίς (a heap); properly (in the plural) the top of the heap, i.e. (by implication) best of the booty",g205,spoils 1
206,ak'-ron,ἄκρον,ákron,[ἄκρον] neuter of an adjective probably akin to the base of {{g188}}; the extremity,g206,"uttermost part 2, one end 1, other + \\846\\ 1, tip 1, top 1"
207,ak-oo'-las,Ἀκύλας,Akýlas,"[Ἀκύλας] probably for Latin  (an eagle); Akulas, an Israelite",g207,Aquila 6
208,ak-oo-ro'-o,ἀκυρόω,akyróō,[ἀκυρόω] from {{g1}} (as a negative particle) and {{g2964}}; to invalidate,g208,"make of none effect 2, disannul 1"
209,ak-o-loo'-toce,ἀκωλύτως,akōlýtōs,"[ἀκωλύτως] adverb from a compound of {{g1}} (as a negative particle) and a derivative of {{g2967}}; in an unhindered manner, i.e. freely",g209,no man forbidding him 1
210,ak'-ohn,ἄκων,ákōn,[ἄκων] from {{g1}} (as a negative particle) and {{g1635}}; unwilling,g210,against (one's) will 1
211,al-ab'-as-tron,ἀλάβαστρον,alábastron,"""[ἀλάβαστρον] neuter of ἀλάβαστρος (of uncertain derivation), the name of a stone; properly, an ""alabaster"" box, i.e. (by extension) a perfume vase (of any material)"",g211,""alabaster box 3, box 1",NULL,
212,al-ad-zon-i'-a,ἀλαζονεία,alazoneía,"[ἀλαζονεία] from {{g213}}; braggadocio, i.e. (by implication) self-confidence",g212,"boasting 1, pride 1"
213,al-ad-zone',ἀλαζών,alazṓn,[ἀλαζών] from ἄλη (vagrancy); braggart,g213,boaster 2
214,al-al-ad'-zo,ἀλαλάζω,alalázō,"""[ἀλαλάζω] from ἀλαλή ( a shout, ""halloo""); to vociferate, i.e. (by implication) to wail; figuratively, to clang"",g214,""wail 1, tinkle 1",NULL,
215,al-al'-ay-tos,ἀλάλητος,alálētos,[ἀλάλητος] from {{g1}} (as a negative particle) and a derivative of {{g2980}}; unspeakable,g215,which cannot be uttered 1
216,al'-al-os,ἄλαλος,álalos,[ἄλαλος] from {{g1}} (as a negative particle) and {{g2980}}; mute,g216,dumb 3
217,hal'-as,ἅλας,hálas,"[ἅλας] from {{g251}}; salt; figuratively, prudence",g217,salt 8
218,al-i'-fo,ἀλείφω,aleíphō,[ἀλείφω] from {{g1}} (as particle of union) and the base of {{g3045}}; to oil (with perfume),g218,anoint 9
219,al-ek-tor-of-o-nee'-ah,ἀλεκτοροφωνία,alektorophōnía,"[ἀλεκτοροφωνία] from {{g220}} and {{g5456}}; cock-crow, i.e. the third night-watch",g219,cockcrowing 1
220,al-ek'-tore,ἀλέκτωρ,aléktōr,[ἀλέκτωρ] from ἀλέκω (to ward off); a cock or male fowl,g220,cock 12
221,al-ex-and-reuce',Ἀλεξανδρεύς,Alexandreús,[Ἀλεξανδρεύς] from Ἀλεξάνδρεια (the city so called); an Alexandreian or inhabitant of Alexandria,g221,"Alexandrian 1, born at Alexander + \\1085\\ 1"
222,al-ex-an-dree'-nos,Ἀλεξανδρῖνος,Alexandrînos,"[Ἀλεξανδρῖνος] from the same as {{g221}}; Alexandrine, or belonging to Alexandria",g222,of Alexandria 2
223,al-ex'-an-dros,Ἀλέξανδρος,Aléxandros,"[Ἀλέξανδρος] from the same as (the first part of) {{g220}} and {{g435}}; man-defender; Alexander, the name of three Israelites and one other man",g223,Alexander 6
224,al'-yoo-ron,ἄλευρον,áleuron,[ἄλευρον] from ἀλέω(to grind); flour,g224,meal 2
225,al-ay'-thi-a,ἀλήθεια,alḗtheia,[ἀλήθεια] from {{g227}}; truth,g225,"truth 107, truly + \\1909\\ 1, true 1, verity 1"
226,al-ayth-yoo'-o,ἀληθεύω,alētheúō,[ἀληθεύω] from {{g227}}; to be true (in doctrine and profession),g226,"tell the truth 1, speak the truth 1"
227,al-ay-thace',ἀληθής,alēthḗs,[ἀληθής] from {{g1}} (as a negative particle) and {{g2990}}; true (as not concealing),g227,"true 23, truly 1, truth 1"
228,al-ay-thee-nos',ἀληθινός,alēthinós,[ἀληθινός] from {{g227}}; truthful,g228,true 27
229,al-ay'-tho,ἀλήθω,alḗthō,[ἀλήθω] from the same as {{g224}}; to grind,g229,grinding 2
230,al-ay-thoce',ἀληθῶς,alēthōs,[ἀληθῶς] adverb from {{g227}}; truly,g230,"of a truth 6, indeed 6, surely 3, truly 2, very 1, misc 3"
231,hal-ee-yoos',ἁλιεύς,halieús,"[ἁλιεύς] from {{g251}}; a sailor (as engaged on the salt water), i.e. (by implication) a fisher",g231,"fishers 4, fishermen 1"
232,hal-ee-yoo'-o,ἁλιεύω,halieúō,"[ἁλιεύω] from {{g231}}; to be a fisher, i.e. (by implication) to fish",g232,a fishing 1
233,hal-id'-zo,ἁλίζω,halízō,[ἁλίζω] from {{g251}}; to salt,g233,to salt 3
234,al-is'-ghem-ah,ἀλίσγεμα,alísgema,[ἀλίσγεμα] from ἀλισγέω (to soil); (ceremonially) defilement,g234,pollution 1
235,al-lah',ἀλλά,allá,"[ἀλλά] neuter plural of {{g243}}; properly, other things, i.e. (adverbially) contrariwise (in many relations)",g235,"but 573, yea 15, yet 11, nevertheless 10, howbeit 9, nay 4, therefore 3, save 2, not tr 2, misc 8"
236,al-las'-so,ἀλλάσσω,allássō,[ἀλλάσσω] from {{g243}}; to make different,g236,change 6
237,al-lakh-oth'-en,ἀλλαχόθεν,allachóthen,[ἀλλαχόθεν] from {{g243}}; from elsewhere,g237,some other way 1
238,al-lay-gor-eh'-o,ἀλληγορέω,allēgoréō,[ἀλληγορέω] from {{g243}} and ἀγορέω (to harangue (compare {{g58}})); to allegorize,g238,be an allegory 1
239,al-lay-loo'-ee-ah,ἀλληλουϊα,allēlouïa,"[ἀλληλουϊα] of Hebrew origin (imperative of {{h1984}} and {{h3050}}); praise ye Jah!, an adoring exclamation",g239,alleluia 4
240,al-lay'-lone,ἀλλήλων,allḗlōn,[ἀλλήλων] Genitive plural from {{g243}} reduplicated; one another,g240,"one another 76, themselves 12, yourselves 3, misc 9"
241,al-log-en-ace',ἀλλογενής,allogenḗs,"[ἀλλογενής] from {{g243}} and {{g1085}}; foreign, i.e. not a Jew",g241,stranger 1
242,hal'-lom-ahee,ἅλλομαι,hállomai,"[ἅλλομαι] middle voice of apparently a primary verb; to jump; figuratively, to gush",g242,"leap 2, spring up 1"
243,al'-los,ἄλλος,állos,"""[ἄλλος] a primary word; ""else,"" i.e. different (in many applications)"",g243,""other(s) 81, another 62, some 11, one 4, misc 2",NULL,
244,al-lot-ree-ep-is'-kop-os,ἀλλοτριεπίσκοπος,allotriepískopos,"[ἀλλοτριεπίσκοπος] from {{g245}} and {{g1985}}; overseeing others' affairs, i.e. a meddler (specially, in Gentile customs)",g244,a busybody in other men's matters 1
245,al-lot'-ree-os,ἀλλότριος,allótrios,"[ἀλλότριος] from {{g243}}; another's, i.e. not one's own; by extension foreign, not akin, hostile",g245,"stranger 4, another man's 4, strange 2, other men's 2, other 1, alien 1"
246,al-lof'-oo-los,ἀλλόφυλος,allóphylos,"[ἀλλόφυλος] from {{g243}} and {{g5443}}; foreign, i.e. (specially) Gentile",g246,one of another nation 1
247,al'-loce,ἄλλως,állōs,[ἄλλως] adverb from {{g243}}; differently,g247,otherwise 1
248,al-o-ah'-o,ἀλοάω,aloáō,[ἀλοάω] from the same as {{g257}}; to tread out grain,g248,"tread out the corn 2, thresh 1"
249,al'-og-os,ἄλογος,álogos,[ἄλογος] from {{g1}} (as a negative particle) and {{g3056}}; irrational,g249,"brute 2, unreasonable 1"
250,al-o-ay',ἀλόη,alóē,[ἀλόη] of foreign origin (compare {{g174}}); aloes (the gum),g250,aloes 1
251,halce,ἅλς,háls,"""[ἅλς] a primary word; ""salt"""",g251,""salt 1",NULL,
252,hal-oo-kos',ἁλυκός,halykós,[ἁλυκός] from {{g251}}; briny,g252,salt 1
253,al-oo-pot'-er-os,ἀλυπότερος,alypóteros,[ἀλυπότερος] comparative of a compound of {{g1}} (as a negative particle) and {{g3077}}; more without grief,g253,less sorrowful 1
254,hal'-oo-sis,ἅλυσις,hálysis,[ἅλυσις] of uncertain derivation; a fetter or manacle,g254,"chain 10, bonds 1"
255,al-oo-sit-el-ace',ἀλυσιτελής,alysitelḗs,"[ἀλυσιτελής] from {{g1}} (as a negative particle) and the base of {{g3081}}; gainless, i.e. (by implication) pernicious",g255,unprofitable 1
256,al-fah'-yos,Ἀλφαῖος,Alphaîos,"[Ἀλφαῖος] of Hebrew origin (compare {{h2501}}); Alphæus, an Israelite",g256,"Alphaeus (father of James) 4, Alphaeus (father of Levi) 1"
257,hal'-ohn,ἅλων,hálōn,"[ἅλων] probably from the base of {{g1507}}; a threshing-floor (as rolled hard), i.e. (figuratively) the grain (and chaff, as just threshed)",g257,floor 2
